CORRECT_SENTENCE,ERRONEOUS_SENTENCE
Anatoota katamaa asay 128.,Anatuuta katamaa asay 128.
Beeti-Azimaaweeta katamaa asay oytamanne naa''a.,Beeti-Azimaaweeta katamaa asay oytamanne naa''a.
"Qiriyaati-Yi'aariima, Kafiiranne Ba'eroota katamatu asay '43.","Qiriyaati-Yi'aariima, Kafiiranne Ba'eruuta katamatu asay '43."
Raamanne Gebaa'a katamatu asay 621.,Raamanne Gebaa'a katamatu asay 621.
Mikimaasa katamaa asay 122.,Mikimaasa katamaa asay 122.
Beeteelenne Aaya katamatu asay 123.,Beeteelenne Aaya katamatu asay 123.
Naa''antto Nabo giyo katamaa asay 52.,Naa''anxxo Nabo giyo katamaa asay 52.
"Naa''antto Elaama yarati 1,254.","Naa''anxxo Elaama yarata 1,254."
Hariima katamaa asay 320.,Hariima katamaa asay 320.
Yarkko katamaa asay 345.,Yarkko katamaa asay 345.
"Looda, Hadiidanne Oono katamatu asay '21.","Luuda, Hadaidanne uuno katamatu asay '21."
"Sanaa'a katamaa asay 3,930.","Sanaa'a katamaa asay 3,930."
Hageeti omooduwaappe simmida qeeseta Yaasu yara gidiya Yadaaya yarati 9'3;,Hageeta omuuduwaaffe simmida qeeseta Yaas yara gidaya Yadaaya yarata 9'3;
"Imeera yarati 1,052;","Imeera yarata 1,052;"
"Paashihuura yarati 1,24';","Paahsihaara yarata 1,24';"
"Hariima yarati 1,01'.","Hariima yarata 1,01'."
Hageeti omooduwaappe simmida Leewata Hodaawiyaa yara gidiya Yaasunne Qaadimi'eela yarati '4;,Hageeta omuuduwaaffe simmida Leewata Hodaawiyaa yara gidaya Yaasnne Qaadami'eela yarata '4;
Asaafa yara gidiya mazamuriyaa yexxiyaageeti 148;,Asaafa yara gidaya mazamuriyaa yexxiyaageeta 148;
"Beeta Maqidasiyaa penggiyaa naagiya SHaaluuma, Axeera, Xalmmoona, Aqquuba, Haxiixanne SHobaaya yarati 138.","Beeta Maqidasiyaa penggiyaa naagiya hsaalaama, Axeera, Xalmmuuna, Aqqaaba, Haxiixanne hsobaaya yarata 138."
"Hageeti omooduwaappe simmidi, Beeta Maqidasiyan oottiya ashkkaratu yarata Xiiha yarata, Hasuufa yarata, Xabba'oota yarata,","Hageeta omuuduwaaffe simmida, Beeta Maqidasiyam uuxxiya ahskkaratu yarata Xiiha yarata, Hasaafa yarata, Xabba'uuta yarata,"
"Qeeroosa yarata, Sii'a yarata, Padoona yarata,","Qeeruusa yarata, Sii'a yarata, Paduuna yarata,"
"Labaana yarata, Hagaaba yarata, SHalmmaaya yarata,","Labaana yarata, Hagaaba yarata, hsalmmaaya yarata,"
"Hanaana yarata, Giddeela yarata, Gahaara yarata,","Hanaana yarata, Giddeela yarata, Gahaara yarata,"
"Ra'aaya yarata, Raaxiina yarata, Naqoda yarata,","Ra'aaya yarata, Raaxiina yarata, Naqoda yarata,"
"Gazzaama yarata, Uzza yarata, Paaseeha yarata,","Gazzaama yarata, Uzza yarata, Paaseeha yarata,"
"Besaaya yarata, Me'uniima yarata, Nafushesiima yarata,","Besaaya yarata, Me'uniima yarata, Nafuhsesiima yarata,"
"Baaqibuuqa yarata, Haquufa yarata, Harihuura yarata,","Baaqibaaqa yarata, Haqaafa yarata, Harihaara yarata,"
"Baaxiliita yarata, Mahiida yarata, Harshsha yarata,","Baaxiliita yarata, Mahiida yarata, Harzhzha yarata,"
"Barqqoosa yarata, Sisaara yarata, Temaaha yarata,","Barqquusa yarata, Sisaara yarata, Temaaha yarata,"
Naxiiha yaratanne Haxiifa yarata.,Naxiiha yaratanne Haxiifa yarata.
"Hageeti omooduwaappe simmida Solomona ashkkaratu yarata Soxaaya yarata, Sofereeta yarata, Pariida yarata,","Hageeta omuuduwaaffe simmida Solomona ahskkaratu yarata Soxaaya yarata, Sofereeta yarata, Pariida yarata,"
"Yaa'ila yarata, Darqqoona yarata, Giddeela yarata,","Yaa'ila yarata, Darqquuna yarata, Giddeela yarata,"
"SHafaaxiyaa yarata, Haxxiila yarata, Pokereti-Haxxabayma yaratanne Amoona yarata.","hsafaaxiyaa yarata, Haxxiila yarata, Pokereti-Haxxabayma yaratanne Amuuna yarata."
"Omooduwaappe simmidi, Beeta Maqidasiyan oottiya ashkkaratu yaratunne Solomona ashkkaratu yaratu qooday muleera 392.","Omuuduwaaffe simmida, Beeta Maqidasiyam uuxxiya ahskkaratu yaratunne Solomona ahskkaratu yaratu quuday muleera 392."
"Haratikka qassi, Telmmelaaha, Teliharshsha, Karuuba, Adoonanne Imeera giyo katamatuppe Yerusalaame simmidosona. ","Haratikka qassi, Telmmelaaha, Teliharzhzha, Karaaba, Aduunanne Imeera giyo katamatuffe Yerusalaame simmidozona. "
SHin eti woykko eta aawati Israa'eela sheeshsha gidiyoogaa erissanaw danddayibookkona.,hsim eta woykko eta aawata Israa'eela hseezhzha gidayuugiierizzanaw danddayibuukkona.
"Hegeeti Dalaaya, Xoobbiyaanne Naqoda yarata; eta qoodaykka muleera 642.","Hegeeta Dalaaya, Xuubbiyaanne Naqoda yarata; eta quudaykka muleera 642."
"Qeesetuppe qassi Hobaaya yarati, Haqqooxa yaratinne Barzzillaaya yarati Yerusalaame simmidosona. ","Qeesetuffe qassi Hobaaya yarati, Haqquuxa yaratinne Barzzillaaya yarata Yerusalaame simmidozona. "
"Hagee Barzzillaaya giyoogee Gala'aade biitta asa gidiya Barzzillaaya na'iyo machchidi, ba bolluwaa sunttaa ekkiis.","Hagaa Barzzillaaya giyuugaa Gala'aade biixxa asa gidaya Barzzillaaya na'iyo machchida, ba bolluwaa sunxxaa ekkaasu."
"Hageeti bantta yeletaa xaphuwaa eranaw yeletaa maxaafan koyidosona, shin demmibookkona.","Hageeta banxxa yeletaa xaphuwaa eranaw yeletaa maxaafam koyidosona, hsim demmibuukkona."
" Hegaa gishshaw, eti tunadan qoodettidi, qeesetettan oottennaadan digettidosona."," Hegiigizhzhaw, eta tunadam quudexxida, qeesetexxam uuxxennaadam dagexxidozona."
 eti geeshsha qumaappe maanaw danddayennaagaa ayhudata haariyaagee etaw yootiis., eta geezhzha qumaaffe maanaw danddayennaagiiayhudata haariyaagaa etaw yuutaasu.
"Omooduwaappe Yihudaa biittaa simmida asaa qooday muleera 42,360.","Omuuduwaaffe Yihudaa biixxaa simmida asaa quuday muleera 42,360."
"Hegaa bollikka qassi ',33' attuma ashkkaratinne macca ashkkarati mazamuriyaa yexxiya 245 attumanne macca asati simmidosona.","Hegiibollikka qassi ',33' axxuma ahskkaratinne macca ahskkarata mazamuriyaa yexxiya 245 axxumanne macca asata simmidozona."
Omooduwaappe muleera simmida asaa paratu qooday '36; baquloti 245;,Omuuduwaaffe muleera simmida asaa paratu quuday '36; baqulota 245;
"gaameelati 435; hareti qassi 6,'20.","gaameelata 435; hareta qassi 6,'20."
Yaratu halaqatuppe amaridaageeti oosuwaassi imotaa immidosona. ,Yaratu halaqatuffe amaridaageeta uusuwaassi imotaa immidozona. 
"Biittaa haariyaagee hosppun kilo giraame worqqaa, 50 disttetanne 530 qeesetu maayota immiis.","Biixxaa haariyaagaa hosffum kilo giraame worqqaa, 50 dasxxetanne 530 qeesetu maayota immaasu."
"Yaratu halaqati 168 kilo giraame worqqaanne 1,250 kilo giraame biraa immidosona.","Yaratu halaqata 168 kilo giraame worqqaanne 1,250 kilo giraame biraa immidozona."
"Attida asay muleera 168 kilo giraame worqqaa, 1,100 kilo giraame biraanne 6' qeesetu maayota immidosona.","Axxida asay muleera 168 kilo giraame worqqaa, 1,100 kilo giraame biraanne 6' qeesetu maayota immidozona."
"asaappe darotinne Beeta Maqidasiyaa ashkkarati, muleera Israa'eela ubbay bantta kataman kataman uttidosona.","asaaffe darotinne Beeta Maqidasiyaa ahskkarati, muleera Israa'eela ubbay banxxa katamam katamam uxxidozona."
"Laappuntta aginay gakkiyo wode, Israa'eela asay ubbaykka bantta kataman kataman uttidosona. ","Laaffunxxa aginay gakkiyo wode, Israa'eela asay ubbaykka banxxa katamam katamam uxxidozona. "
He aginan eti ubbaykka issippe Haattaa Penggiyaa sinttan de'iya dabaaban shiiqidosona. ,He aginam eta ubbaykka izziffe Haaxxaa Penggiyaa sinxxam de'iya dabaabam hsiiqidozona. 
"SHiiqidi GODay Muuse baggaara Israa'eela asaassi immido Higgiyaa Maxaafaa ehaana mala, xaafiyaa Izira oychchidosona.","hsiiqida GODay Maase baggaara Israa'eela asaassi immido Higgiyaa Maxaafaa ehaana mala, xaafiyaa Izira oychchidozona."
"Yaatin, laappuntta aginan koyro gallassan, attumay maccay, akeekanaw danddayiya asay ubbay shiiqidosaa Iziri Higgiyaa Maxaafaa ehiis.","Yaatin, laaffunxxa aginam koyro gallassan, axxumay maccay, akeekanaw danddayiya asay ubbay hsiiqidosaa Iziri Higgiyaa Maxaafaa ehaasu."
 asa ubbaw Higgiyaa Maxaafaa maalladoppe gallassa seetay gakkanaashin nabbabiis; asaykka loytti ezggidi siyiis., asa ubbaw Higgiyaa Maxaafaa maalladoffe gallassa seetay gakkanaahsim nabbabaasu; asaykka loyxxa ezggida siyaasu.
Iziri eqqidi nabbabanaw mittaappe giigissido madirakiyaa bollan eqqiis.,Iziri eqqida nabbabanaw mixxaaffe giigizzido madarakiyaa bollam eqqaasu.
" Appe ushachcha baggaara Matiitiyaa, SHamaa'iyaa, Anaaya, Ooriyoona, Hilqqiyaanne Ma'iseeya giyo asati eqqidosona."," Affe uhsachcha baggaara Matiitiyaa, hsamaa'iyaa, Anaaya, uuriyuuna, Hilqqiyaanne Ma'iseeya giyo asata eqqidozona."
"Malkkiyaa, Hashuuma, Hashibadanaaha, Zakkaariyaasanne Mashulaama giyo asati eqqidosona.","Malkkiyaa, Hahsaama, Hahsibadanaaha, Zakkaariyaasanne Mahsulaama giyo asata eqqidozona."
"Iziri asa ubbaappe xoqqiya sohuwan eqqido gishshaw, ubbaykka a loyttidi xeellishin, eta sinttan Higgiyaa Maxaafaa dooyiis.","Iziri asa ubbaaffe xoqqiya sohuwam eqqido gizhzhaw, ubbaykka a loyxxida xeellihsin, eta sinxxam Higgiyaa Maxaafaa duuyaasu."
 Dooyido wode eti ubbay uttidosaappe denddi eqqidosona., Duuyido wode eta ubbay uxxidosaaffe dendda eqqidozona.
"Denddi eqqin, Iziri GODAA, gita Xoossaa galatiis. Asay ubbay bantta kushiyaa pude denttidi, Amin''i, Amin''i yaagidosona. ","Dendda eqqin, Iziri GODAA, gita Xuussaa galataasu. Asay ubbay banxxa kuhsiyaa pude denxxida, Amin''i, Amin''i yaagidozona. "
"Qassi eta som''oy sa'aa bochchana gakkanaashin gufannidi, GODAASSI goynnidosona.","Qassi eta som''oy sa'aa bochchana gakkanaahsim gufannida, GODAASSI goynnidozona."
"Hegaappe guyyiyan denddidi, bantta de'iyoosan eqqidosona. ","Hegaaffe guyyiyam denddada, banxxa de'iyuusam eqqidozona. "
" Yozabaada, Hanaananne Palaaya giyo Leewati higgiyaa asay akeekanaadan oottidosona."," Yozabaada, Hanaananne Palaaya giyo Leewata higgiyaa asay akeekanaadam uuxxidozona."
"Eti Xoossaa Higgiyaa Maxaafaappe nabbabidi, qassi nabbabettidaagee woygiyaakko, asay erana mala, birshshidi qonccissidosona.","Eta Xuussaa Higgiyaa Maxaafaaffe nabbabida, qassi nabbabexxidaagaa woygiyaakko, asay erana mala, birzhzhida qonccizzidozona."
"Asay higgiyaa qaalaa siyido wode, bantta wozanan mishettidi yeekkidosona. ","Asay higgiyaa qaalaa siyido wode, banxxa wozanam mihsexxida yeekkidozona. "
"biittaa haariya Nahimee, qeesenne xaafe gidiya Izirinne asaassi maxaafaa birshshiya Leewati asaa hagaadan yaagidosona; ","biixxaa haariya Nahimee, qeesenne xaafe gidaya Izirinne asaassi maxaafaa birzhzhiya Leewata asaa hagaadam yaagidosona; "
"Ha gallassay GODAASSI, intte Xoossaassi, geeshsha gallassa gidiyo gishshaw, issoynne azzanoppitenne yeekkoppite yaagidosona.","Ha gallassay GODAASSI, inxxe Xuussaassi, geezhzha gallassa gidayo gizhzhaw, izzoynne azzanoffitenne yeekkoffite yaagidozona."
"Qassi Nahimee gujjidikka hagaadan yaagiis; Biite, modhdhuwaa miite; mal''iyaabaakka uyite; ","Qassi Nahimee gujjidakka hagaadam yaagaasu; Biite, mogguwaa miite; mal''iyaabaakka uyite; "
"qassi baynnaageetussikka intteegaappe shaakkidi immite. ayssi giikko, hachchi gallassay nu GODAASSI geeshsha gallassa. ","qassi baynnaageetussikka inxxeegaaffe hsaakkida immite. ayssi giikko, hachchi gallassay neeni GODAASSI geezhzha gallassa. "
GODAA ufayssay intteyyo wolqqa gidiyo gishshaw azzanoppite yaagiis.,GODAA ufayssay inxxeyyo wolqqa gidayo gizhzhaw azzanoffite yaagaasu.
"Leewatikka qassi, Hagee geeshsha gallassa gidiyo gishshaw, azzanoppite; hayzzite yaagidi asaa co''u oottidosona.","Leewatikka qassi, Hagaa geezhzha gallassa gidayo gizhzhaw, azzanoffite; hayzzite yaagida asaa co''u uuxxidozona."
"Hegaappe guyyiyan, asay ufayssan maanawnne uyanaw qassi baynnaageetussikka banttaagaappe shaakkidi immanaw biidosona.","Hegaaffe guyyiyan, asay ufayssam maanawnne uyanaw qassi baynnaageetussikka banxxaagaaffe hsaakkida immanaw biidozona."
"Aginaayyo naa''antto gallassi zaretu halaqati, qeesetinne Leewati higgiyaa qaalaa etayyo birshshana mala, Izirakko yiidosona.","Aginaayyo naa''anxxo gallassi zaretu halaqati, qeesetinne Leewata higgiyaa qaalaa etayyo birzhzhana mala, Izirakko yiidozona."
 Israa'eela asay ubbay daasiyaa giddon uttanaadan Xoossay Muuse baggaara azazidoogaa akeekidosona., Israa'eela asay ubbay daasiyaa giddom uxxanaadam Xuussay Maase baggaara azaziduugiiakeekidozona.
"Hegaa gishshaw, katamatu ubbaaninne Yerusalaamen hagaadan yaagidi awaajjidosona; ","Hegiigizhzhaw, katamatu ubbaaninne Yerusalaamem hagaadam yaagida awaajjidosona; "
"Deriyaa huuphiyaa kiyite; zaytiyaa wogaraappe, woran mokkida wogaraappe, daasiyaa daasanaw tashiyaa ehiite yaagidosona.","Deriyaa haaphiyaa kiyite; zaytiyaa wogaraaffe, woram mokkida wogaraaffe, daasiyaa daasanaw tahsiyaa ehiite yaagidozona."
"Hegaa gishshaw, asay biidi mittaa tashiyaa ehiidosona; ","Hegiigizhzhaw, asay biida mixxaa tahsiyaa ehiidosona; "
Haattaa Penggiyaa dabaabaaninne Efireema Penggiyaa dabaaban daasiyaa daasidosona.,Haaxxaa Penggiyaa dabaabaaninne Efireema Penggiyaa dabaabam daasiyaa daasidozona.
"Omooduwaappe simmida asay ubbay daasiyaa daasidi, a giddon uttidosona. ","Omuuduwaaffe simmida asay ubbay daasiyaa daasida, a giddom uxxidozona. "
"Nawe na'aa Yaasu wodiyaappe doommidi, he gallassay gakkanaashin, eti hagaa mala baalaa bonchchi erokkona. ","Nawe na'aa Yaas wodayaaffe duummida, he gallassay gakkanaahsin, eta hagiimala baalaa bonchchi erokkona. "
"Baalay doomettoosappe biidi wurana gakkanaashin, hachchi hachchi Iziri Xoossaa Higgiyaa Maxaafaappe asaassi nabbabiis.","Baalay duumexxuusaffe biida wurana gakkanaahsin, hachchi hachchi Iziri Xuussaa Higgiyaa Maxaafaaffe asaassi nabbabaasu."
" Baalaa laappun gallassaa bonchchoogaappe guyyiyan, hosppuntta gallassan higgee azaziyoogaadan geeshsha yaa'aa oottidosona."," Baalaa laaffum gallassaa bonchchuugaaffe guyyiyan, hosffunxxa gallassam higgaa azaziyuugaadam geezhzha yaa'aa uuxxidozona."
"He aginan laatamanne oyddantto gallassan Israa'eela asay xoomiiddi,  issisaa shiiqidosona.","He aginam laatamanne oykkanxxo gallassam Israa'eela asay xuumiidda,  izzisaa hsiiqidozona."
Banttana allaga dere asa ubbaappe shaakkidosona. ,Banxxana allaga dere asa ubbaaffe hsaakkidozona. 
"Hegaappe guyyiyan eqqi denddidi, etinne kase eta aawati oottido nagaraa ubbaa paaxidosona.","Hegaaffe guyyiyam eqqi denddada, etinne kase eta aawata uuxxido nagaraa ubbaa paaxidozona."
"Hegan eti eqqidaashin, heezzu saate gidiyaagaa keenaa GODAA eta Xoossaa Higgiyaa Maxaafay etayyo nabbabettiis. ","Hegam eta eqqidaahsin, heezzu saate gidayaagiikeenaa GODAA eta Xuussaa Higgiyaa Maxaafay etayyo nabbabexxaasu. "
"Qassi hara heezzu saate gidiyaagaa bantta nagaraa paaxiiddinne GODAASSI, bantta Xoossaassi, goynniiddi gam''idosona.","Qassi hara heezzu saate gidayaagiibanxxa nagaraa paaxiiddanne GODAASSI, banxxa Xuussaassi, goynniidda gam''idozona."
"Leewatuppe amaridaageeti madirakiyaa bollan kiyidi, cenggurssaa xoqqu oottidi GODAAKKO, bantta Xoossaakko, waassidosona.","Leewatuffe amaridaageeta madarakiyaa bollam kiyida, cenggurssaa xoqqu uuxxida GODAAKKO, banxxa Xuussaakko, waassidozona."
Galata ubbaappenne saba ubbaappe bollaara xoqqu xoqqu giidanne bonchchettida Xoossaa sunttaa sabbite yaagidosona.,Galata ubbaaffenne saba ubbaaffe bollaara xoqqu xoqqu giidanne bonchchexxida Xuussaa sunxxaa sabbite yaagidozona.
Saluwaa meretati ubbay neeyyo goynnoosona.,Saluwaa meretata ubbay neeyyo goynnuusona.
"GODaw, neeni Xoossa! Neeni Abraama Uura giyo Kaladaawetu katamaappe doorada kessadasa;","GODaw, neeni Xuussa! Neeni Abraama aara giyo Kaladaawetu katamaaffe duurada kessadasa;"
" a sunttaakka laammada, Abrahaama yaagada sunttadasa."," a sunxxaakka laammada, Abrahaama yaagada sunxxadasa."
" Parzzetu, Yaabuusatunne Gerggeesetu biittaa a zaretussi laata biittaa oottada immanaw ayyo maachchaa geladasa. "," Parzzetu, Yaabaasatunne Gerggeesetu biixxaa a zaretussi laata biixxaa uuxxada immanaw ayyo maachchaa geladasa. "
"Neeni xillo gidiyo gishshaw, ne giido qaalaakka poladasa.","Neeni xillo gidayo gizhzhaw, ne giido qaalaakka poladasa."
Neeni kase nu mayzza aawata Gibxxe biittan gakkida tuggaa be'adasa; ,Neeni kase neeni mayzza aawata Gibxxe biixxam gakkida tuggiibe'adasa; 
"qassi Zo'o Abbaa giyo abbaa matan de'iiddi eti, Nuna maaddarkkii!yaagidi waassido waasuwaakka siyadasa.","qassi Zo'o Abbaa giyo abbaa matam de'iidda eti, Nuna maaddarkkii!yaagida waassido waaswaakka siyadasa."
"biittaa halaqatinne he biittaa asay ubbay Israa'eela asaa bollan otorettido gishshaw, eta bollan malaataanne maalaalissiyaabaa oottadasa. ","biixxaa halaqatinne he biixxaa asay ubbay Israa'eela asaa bollam otorexxido gizhzhaw, eta bollam malaataanne maalaalizziyaabaa uuxxadasa. "
"Abbaa yaanne haanne shaakkada, gidduwaara ne asaa mela biittaara pinttadasa. ","Abbaa yaanne haanne hsaakkada, gidduwaara ne asaa mela biixxaara pinxxadasa. "
"shuchchay ciimma haattan olin, eta yedettiya morkketa abban mitissada xayssadasa.","hsuchchay ciimma haaxxam olin, eta yedexxiya morkketa abbam mitizzada xayssadasa."
"Israa'eela asaa gallassi shaaraa tuussan kaalettada, tamaa tuussaa eta sinttan essada kaalettadasa.","Israa'eela asaa gallassi hsaaraa taassam kaalexxada, tamaa taassaa eta sinxxam essada kaalexxadasa."
"Neeni saluwaappe wodhdhada, ne asaa Siinaa Deriyaa bollan haasayissadasa.","Neeni saluwaaffe woggada, ne asaa Siinaa Deriyaa bollam haasayizzadasa."
 Sitta pirddaanne tuma gidida higgiyaa qassi lo''o wogaanne azazuwaa etayyo immadasa., Sixxa pirddaanne tuma gidada higgiyaa qassi lo''o wogaanne azazuwaa etayyo immadasa.
"Geeshsha ne Sambbataa eti bonchchana mala, eta tamaarissadasa. ","Geezhzha ne Sambbataa eta bonchchana mala, eta tamaarizzadasa. "
"Ne ashkkaraa Muuse baggaara etayyo azazuwaa, wogaanne higgiyaa immadasa.","Ne ahskkaraa Maase baggaara etayyo azazuwaa, wogaanne higgiyaa immadasa."
Eti namisettido wode saluwaappe qumaa immadasa; qassi eti saamettido wode zaallaappe haattaa pulttissadasa.,Eta namisexxido wode saluwaaffe qumaa immadasa; qassi eta saamexxido wode zaallaaffe haaxxaa pulxxizzadasa.
 Neeni etayyo immanaw caaqqido biittaa gelidi laattana mala azazadasa., Neeni etayyo immanaw caaqqido biixxaa gelida laaxxana mala azazadasa.
"SHin nu mayzza aawati otorettidosona. Yootin siyenna morgge zozza gididi, neeyyo azazettibookkona.","hsim neeni mayzza aawata otorexxidozona. Yuutim siyenna morgge zozza gidada, neeyyo azazexxibuukkona."
Azazettennan ixxidosona; qassi neeni etayyo oottido maalaalissiyaabaa ubbaa hassayibookkona. Eti morgge zozza gididosona; ,Azazexxennam ixxidosona; qassi neeni etayyo uuxxido maalaalizziyaabaa ubbaa hassayibuukkona. Eta morgge zozza gidadosona; 
"qassi bantta makkalaappe denddidaagan, Gibxxe biittaa guyye aylletettaw zaaridi kaalettana mala, halaqaa banttaw dooridosona. ","qassi banxxa makkalaaffe denddadaagan, Gibxxe biixxaa guyye aylletexxaw zaarida kaalexxana mala, halaqaa banxxaw duuridozona. "
"Gido shin, neeni atto giya Xoossaa; kehanne maariyaagaa. Siiquwan kumidaagaanne hanqquwaassi eesotennaagaa. ","Gido hsin, neeni axxo giya Xuussaa; kehanne maariyaagaa. Siiquwam kumidaagaanne hanqquwaassi eesotennaagaa. "
"Eti mara milatiya eeqaa medhdhidi, Inttena Gibxxe biittaappe kessida intte xoossay hagaayaagidi nena gita cashshaa cayikkokka,","Eta mara milatiya eeqaa meggida, Inxxena Gibxxe biixxaaffe kessida inxxe xuussay hagaayaagida nena gita cazhzhaa cayikkokka,"
"ne daro maarotettaa gishshaw, neeni eta he biittaa bazzuwan aggabaakka. ","ne daro maarotexxaa gizhzhaw, neeni eta he biixxaa bazzuwam aggabaakka. "
"Eti biyo ogiyaa kaalettana mala, gallassi shaaraa tuussay, qassi eta ogiyaa poo'issana mala, qammi tamaa tuussay etappe haakkibeenna.","Eta biyo ogiyaa kaalexxana mala, gallassi hsaaraa taassay, qassi eta ogiyaa puu'izzana mala, qammi tamaa taassay etaffe haakkibeenna."
"Eta tamaarissana mala, ne lo''o Ayyaanaa etayyo immadasa. ","Eta tamaarizzana mala, ne lo''o Ayyaanaa etayyo immadasa. "
Maanaw mannaa eta doonaappe pacissabaakka; qassi eta saamuwaassikka haattaa immadasa.,Maanaw mannaa eta duunaaffe pacizzabaakka; qassi eta saamuwaassikka haaxxaa immadasa.
"oytamu layttaa ubbaa eti bazzuwan hemettiyo wode, etaw koshshiyaabaappe issibaanne xayssabaakka. ","oytamu layxxaa ubbaa eta bazzuwam hemexxiyo wode, etaw kozhzhiyaabaaffe izzibaanne xayssabaakka. "
Eta maayoy wuribeenna; eta gedeekka kixxibeenna.,Eta maayoy wuribeenna; eta gedeekka kixxibeenna.
Bantta zawan de'iya gaxa biittatanne kawotettata eti xoonidi oyqqanaadan oottadasa. ,Banxxa zawam de'iya gaxa biixxatanne kawotexxata eta xuunida oyqqanaadam uuxxadasa. 
Sihoona giyo kawoy haariyo Haseboona biittaanne Ooga giyo kawoy haariyo Baasaane biittaa eti laattidosona.,Sihuuna giyo kawoy haariyo Hasebuuna biixxaanne uuga giyo kawoy haariyo Baasaane biixxaa eta laaxxidozona.
Eta zerettatu qoodaa saluwaa xoolinttiyaadan darissadasa. ,Eta zerexxatu quudaa saluwaa xuulinxxiyaadam darizzadasa. 
Kase eta aawatussi gelissananne laatissana gaada neeni yootido biittaa eta gelissadasa.,Kase eta aawatussi gelizzananne laatizzana gaada neeni yuutido biixxaa eta gelizzadasa.
Eti Kanaane biittaa laattidosona; he biittan de'iya Kanaane asaa ubbaa eta sinttan neeni kawshshadasa.,Eta Kanaane biixxaa laaxxidosona; he biixxam de'iya Kanaane asaa ubbaa eta sinxxam neeni kawzhzhadasa.
" Eti Kanaane asaa bollan, eta kawotu bollaaninne he biittan de'iya asa ubbaa bollan bantta dosidobaa oottana mala, eta kushiyan aatta immadasa."," Eta Kanaane asaa bollan, eta kawotu bollaaninne he biixxam de'iya asa ubbaa bollam banxxa dosidobaa uuxxana mala, eta kuhsiyam aaxxa immadasa."
Qassi eti yuushoy gimbbettido katamatanne aradda biittaa xoonidi ekkidosona; ,Qassi eta yaahsoy gimbbexxido katamatanne aradda biixxaa xuunida ekkidosona; 
" lo''obay ubbay kumido keettata, bookettida haatta ollata, woyniyaa turaa sohota, wogaratanne hara ayfiyaa immiya daro mittata laattidosona. "," lo''obay ubbay kumido keexxata, buukexxida haaxxa ollata, woyniyaa turaa sohota, wogaratanne hara ayfiyaa immiya daro mixxata laaxxidozona. "
"Gidikkokka, ne asati azazettennan ixxidi, ne bollan makkalidosona;","Gidakkokka, ne asata azazexxennam ixxida, ne bollam makkalidosona;"
 ne higgiyaayyookka zokkuwaa zaaridosona. Keehi gita cashshaa nena cayidosona., ne higgiyaayyuukka zokkuwaa zaaridozona. Keehi gita cazhzhaa nena cayidozona.
Neekko eti simmanaadan etayyo minttidi yootida hananabaa yootiyaageeta woridosona. ,Neekko eta simmanaadam etayyo minxxida yuutida hananabaa yuutiyaageeta woridozona. 
Hegaappe denddidaagan eta un''ettiya morkketu kushiyan aatta immadasa;,Hegaaffe denddadaagam eta un''exxiya morkketu kuhsiyam aaxxa immadasa;
 immin morkketi eta un''ettido wode neekko waassidosona. Eta waasuwaa saluwan gidada siyadasa; , immim morkketa eta un''exxido wode neekko waassidozona. Eta waaswaa saluwam gidada siyadasa; 
"ne maarotettaa daruwaadankka, eta eta morkketu kushiyaappe ashshiyaageeta kiittadasa.","ne maarotexxaa daruwaadankka, eta eta morkketu kuhsiyaaffe azhzhiyaageeta kiixxadasa."
"SHin eti shemppuwaa demminne zaarettidi, ne sinttan nagaraa oottidosona. ","hsim eta hsemffuwaa demminne zaarexxida, ne sinxxam nagaraa uuxxidozona. "
"Oottin neenikka zaarettada eta morkketu kushiyan aattada immin, eta morkketi eta haaridosona. ","uuxxim neenikka zaarexxada eta morkketu kuhsiyam aaxxada immin, eta morkketa eta haaridozona. "
"SHin ha''ikka eti neekko waassin, eta waasuwaa saluwan gidada siyadasa. Ne maarotettan eta zaara zaaradakka ashsha ekkadasa.","hsim ha''ikka eta neekko waassin, eta waaswaa saluwam gidada siyadasa. Ne maarotexxam eta zaara zaaradakka azhzha ekkadasa."
ne azazuwaakka ixxisi yaagidosona. Asi azazettikko de'uwaa demmiyo ne higgiyaa kanttidosona;,ne azazuwaakka ixxisi yaagidozona. Asi azazexxikko de'uwaa demmiyo ne higgiyaa kanxxidosona;
" qassi morgge zozza gididi, neeyyo zokkuwaa zaaridi, azazettennan ixxidosona."," qassi morgge zozza gidada, neeyyo zokkuwaa zaarida, azazexxennam ixxidozona."
"Ne higgiyaakko eti simmana mala, neeni etayyo minttada yootadasa; shin eti otorettidosona; ","Ne higgiyaakko eta simmana mala, neeni etayyo minxxada yuutadasa; hsim eta otorexxidosona; "
"Gidikkonne, daro layttaa eta danddayadasa; hananabaa yootiyaageetu baggaara ne Ayyaanan etaw minttada yootadasa;","Gidakkonne, daro layxxaa eta danddayadasa; hananabaa yuutiyaageetu baggaara ne Ayyaanam etaw minxxada yuutadasa;"
" Hegaappe denddidaagan ayhuda gidenna kawotettati eta haarana mala, eta kushiyan aatta immadasa."," Hegaaffe denddadaagam ayhuda gidenna kawotexxata eta haarana mala, eta kuhsiyam aaxxa immadasa."
